,text,labels,split
20,"bile duct hamartoma occurring in association with long - term treatment with danazol . we report a case of bile duct hamartoma which developed in a patient who had been on long - term danazol treatment . such patients should be under close follow - up , preferably with periodic ultrasound examination of the liver . if the patient develops a liver mass , because of non - specific clinical features and imaging appearances , biopsy may be the only way to achieve a definitive diagnosis .","I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",train
21,"relationship between nicotine - induced seizures and hippocampal nicotinic receptors . a controversy has existed for several years concerning the physiological relevance of the nicotinic receptor measured by alpha - bungarotoxin binding . using mice derived from a classical f2 and backcross genetic design , a relationship between nicotine - induced seizures and alpha - bungarotoxin nicotinic receptor concentration was found . mice sensitive to the convulsant effects of nicotine had greater alpha - bungarotoxin binding in the hippocampus than seizure insensitive mice . the binding sites from seizure sensitive and resistant mice were equally affected by treatment with dithiothreitol , trypsin or heat . thus it appears that the difference between seizure sensitive and insensitive animals may be due to a difference in hippocampal nicotinic receptor concentration as measured with alpha - bungarotoxin binding .","O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",test
22,"induction of rosaceiform dermatitis during treatment of facial inflammatory dermatoses with tacrolimus ointment . background : tacrolimus ointment is increasingly used for anti - inflammatory treatment of sensitive areas such as the face , and recent observations indicate that the treatment is effective in steroid - aggravated rosacea and perioral dermatitis . we report on rosaceiform dermatitis as a complication of treatment with tacrolimus ointment . observations : six adult patients with inflammatory facial dermatoses were treated with tacrolimus ointment because of the ineffectiveness of standard treatments . within 2 to 3 weeks of initially effective and well - tolerated treatment , 3 patients with a history of rosacea and 1 with a history of acne experienced sudden worsening with pustular rosaceiform lesions . biopsy revealed an abundance of demodex mites in 2 of these patients . in 1 patient with eyelid eczema , rosaceiform periocular dermatitis gradually appeared after 3 weeks of treatment . in 1 patient with atopic dermatitis , telangiectatic and papular rosacea insidiously appeared after 5 months of treatment . conclusions : our observations suggest that the spectrum of rosaceiform dermatitis as a complication of treatment with tacrolimus ointment is heterogeneous . a variety of factors , such as vasoactive properties of tacrolimus , proliferation of demodex due to local immunosuppression , and the occlusive properties of the ointment , may be involved in the observed phenomena . future studies are needed to identify individual risk factors .","O,O,O,I-DI,O,O,O,I-DI,I-DI,I-DI,O,I-CH,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,I-DI,I-DI,O,O,O,O,O,I-DI,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",valid
23,"attenuation of nephrotoxicity by a novel lipid nanosphere ( ns - 718 ) incorporating amphotericin b . ns - 718 , a lipid nanosphere incorporating amphotericin b , is effective against pathogenic fungi and has low toxicity . we compared the toxicity of ns - 718 with that of fungizone ( amphotericin b - sodium deoxycholate ; d - amb ) in vitro using renal cell cultures and in vivo by biochemical analysis , histopathological study of the kidney and pharmacokinetic study of amphotericin b following intravenous infusion of the formulation in rats . incubation with ns - 718 resulted in significantly less damage of cultured human renal proximal tubular epithelial cells compared with d - amb . serum blood urea and creatinine concentrations increased significantly in rats given an iv infusion of d - amb 3 mg / kg but not in those given the same dose of ns - 718 . histopathological examination of the kidney showed tubular necrosis in d - amb - treated rats but no change in ns - 718 - treated rats . amphotericin b concentrations in the kidney in ns - 718 - treated rats were higher than those in d - amb - treated rats . our in vitro and in vivo results suggest that incorporation of amphotericin b into lipid nanospheres of ns - 718 attenuates the nephrotoxicity of amphotericin b .","O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,O,O,O,O,O,O,O,I-CH,O,I-CH,I-CH,I-CH,I-CH,I-CH,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,O,O,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,I-DI,O,I-CH,I-CH,O",valid
24,seizures induced by combined levomepromazine - fluvoxamine treatment . we report a case of combined levomepromazine - fluvoxamine treatment - induced seizures . it seems that combined treatment of fluvoxamine with phenothiazines may possess proconvulsive activity .,"I-DI,O,O,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,I-DI,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,O,O",dev
25,"the dose - dependent effect of misoprostol on indomethacin - induced renal dysfunction in well compensated cirrhosis . misoprostol ( 200 micrograms ) has been shown to acutely counteract the indomethacin - induced renal dysfunction in well compensated cirrhotic patients . the aim of this study was to determine if the prophylactic value of misoprostol was dose - dependent . parameters of renal hemodynamics and tubular sodium and water handling were assessed by clearance techniques in 26 well compensated cirrhotic patients before and after an oral combination of 50 mg of indomethacin and various doses of misoprostol . the 200 - micrograms dose was able to totally abolish the deleterious renal effects of indomethacin , whereas the 800 - micrograms dose resulted in significant worsening of renal hemodynamics and sodium retention . these changes were maximal in the hour immediately after medications and slowly returned toward base - line levels thereafter . these results suggest that the renal protective effects of misoprostol is dose - dependent . however , until this apparent ability of 200 micrograms of misoprostol to prevent the adverse effects of indomethacin on renal function is confirmed with chronic frequent dosing , it would be prudent to avoid nonsteroidal anti - inflammatory therapy in patients with cirrhosis .","O,O,O,O,O,O,I-CH,O,I-CH,O,O,I-DI,I-DI,O,O,O,I-DI,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O",valid
26,hepatitis and renal tubular acidosis after anesthesia with methoxyflurane . a 69 - year - old man operated for acute cholecystitis under methoxyflurane anesthesia developed postoperatively a hepatic insufficiency syndrome and renal tubular acidosis . massive bleeding appeared during surgery which lasted for six hours . postoperative evolution under supportive therapy was favourable . complete recovery was confirmed by repeated controls performed over a period of one year after surgery .,"I-DI,O,I-DI,I-DI,I-DI,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-CH,O,O,O,O,I-DI,I-DI,I-DI,O,I-DI,I-DI,I-DI,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",valid
27,"pupillary changes associated with the development of stimulant - induced mania : a case report . a 30 - year - old cocaine - dependent man who was a subject in a study evaluating the anticraving efficacy of the stimulant medication diethylpropion ( dep ) became manic during his second week on the study drug . pupillometric changes while on dep , especially changes in the total power of pupillary oscillation , were dramatically different than those observed in the eight other study subjects who did not become manic . the large changes in total power of pupillary oscillation occurred a few days before the patient became fully manic . such medication - associated changes in the total power of pupillary oscillation might be of utility in identifying persons at risk for manic - like adverse effects during the medical use of psychomotor stimulants or sympathomimetic agents .","O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",valid
28,"valproate - induced chorea and encephalopathy in atypical nonketotic hyperglycinemia . nonketotic hyperglycinemia is a disorder of amino acid metabolism in which a defect in the glycine cleavage system leads to an accumulation of glycine in the brain and other body compartments . in the classical form it presents as neonatal apnea , intractable seizures , and hypotonia , followed by significant psychomotor retardation . an important subset of children with nonketotic hyperglycinemia are atypical variants who present in a heterogeneous manner . this report describes a patient with mild language delay and mental retardation , who was found to have nonketotic hyperglycinemia following her presentation with acute encephalopathy and chorea shortly after initiation of valproate therapy .","I-CH,O,O,I-DI,O,I-DI,O,O,I-DI,I-DI,O,I-DI,I-DI,O,O,I-DI,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,I-DI,O,O,I-DI,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-DI,I-DI,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,I-DI,O,I-DI,O,O,O,O,I-CH,O,O",dev
29,"cocaine causes memory and learning impairments in rats : involvement of nuclear factor kappa b and oxidative stress , and prevention by topiramate . different mechanisms have been suggested for cocaine toxicity including an increase in oxidative stress but the association between oxidative status in the brain and cocaine induced - behaviour is poorly understood . nuclear factor kappa b ( nfkappab ) is a sensor of oxidative stress and participates in memory formation that could be involved in drug toxicity and addiction mechanisms . therefore nfkappab activity , oxidative stress , neuronal nitric oxide synthase ( nnos ) activity , spatial learning and memory as well as the effect of topiramate , a previously proposed therapy for cocaine addiction , were evaluated in an experimental model of cocaine administration in rats . nfkappab activity was decreased in the frontal cortex of cocaine treated rats , as well as gsh concentration and glutathione peroxidase activity in the hippocampus , whereas nnos activity in the hippocampus was increased . memory retrieval of experiences acquired prior to cocaine administration was impaired and negatively correlated with nfkappab activity in the frontal cortex . in contrast , learning of new tasks was enhanced and correlated with the increase of nnos activity and the decrease of glutathione peroxidase . these results provide evidence for a possible mechanistic role of oxidative and nitrosative stress and nfkappab in the alterations induced by cocaine . topiramate prevented all the alterations observed , showing novel neuroprotective properties .","I-CH,O,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,I-CH,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,O,O,O",train
30,angiosarcoma of the liver associated with diethylstilbestrol . angiosarcoma of the liver occurred in a 76 - year - old man who had been treated for a well - differentiated adenocarcinoma of the liver with diethylstilbestrol for 13 years . angiosarcoma was also present within pulmonary and renal arteries . the possibility that the intraarterial lesions might represent independent primary tumors is considered .,"I-DI,I-DI,I-DI,I-DI,O,O,I-CH,O,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,O,I-CH,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,I-DI,O,O,O",train
31,"viracept and irregular heartbeat warning . a group of doctors in boston warn that the protease inhibitor viracept may cause an irregular heart beat , known as bradycardia , in people with hiv . bradycardia occurred in a 45 - year - old male patient who was viracept in combination with other anti - hiv drugs . the symptoms ceased after switching to another drug combination .","I-CH,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,I-DI,I-DI,I-DI,O,O,O,I-DI,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",valid
32,"seizure associated with sleep deprivation and sustained - release bupropion . this case report describes a generalized seizure associated with sustained - release bupropion use and sleep deprivation . the subject , a 31 - year - old female smoker , was participating in a clinical trial evaluating an investigational medication for smoking cessation that used sustained - release bupropion as an active control . after 5 weeks of bupropion use , the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence . the patient had no other risk factors for seizures . we suggest that sleep deprivation may add to the risk of bupropion - associated seizures .","I-DI,O,O,I-DI,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,I-CH,O,O,I-DI,O",dev
33,"irreversible damage to the medullary interstitium in experimental analgesic nephropathy in f344 rats . renal papillary necrosis ( rpn ) and a decreased urinary concentrating ability developed during continuous long - term treatment with aspirin and paracetamol in female fischer 344 rats . renal structure and concentrating ability were examined after a recovery period of up to 18 weeks , when no analgesics were given , to investigate whether the analgesic - induced changes were reversible . there was no evidence of repair to the damaged medullary interstitial matrix , or proliferation of remaining undamaged type 1 medullary interstitial cells after the recovery period following analgesic treatment . the recovery of urinary concentrating ability was related to the length of analgesic treatment and the extent of the resulting inner medullary structural damage . during the early stages of analgesic treatment , the changes in urinary concentrating ability were reversible , but after prolonged analgesic treatment , maximum urinary concentrating ability failed to recover . this study shows that prolonged analgesic treatment in fischer 344 rats causes progressive and irreversible damage to the interstitial matrix and type 1 interstitial cells leading to rpn . the associated urinary concentrating defect is reversible only during the early stages of structural damage to the inner medulla .","O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,I-DI,I-DI,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",train
34,"tiapride in levodopa - induced involuntary movements . tiapride , a substituted benzamide derivative closely related to metoclopramide , reduced levodopa - induced peak dose involuntary movements in 16 patients with idiopathic parkinson 's disease . however , an unacceptable increase in disability from parkinsonism with aggravation of end - of - dose akinesia led to its cessation in 14 patients . tiapride had no effect on levodopa - induced early morning of "" off - period "" segmental dystonia . these results fail to support the notion that levodopa - induced dyskinesias are caused by overstimulation of a separate group of dopamine receptors .","I-CH,O,I-CH,O,O,I-DI,I-DI,O,I-CH,O,O,O,I-CH,O,O,O,O,I-CH,O,O,I-CH,O,O,O,O,I-DI,I-DI,O,O,O,O,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O",dev
35,"a murine model of adenomyosis : the effects of hyperprolactinemia induced by fluoxetine hydrochloride , a selective serotonin reuptake inhibitor , on adenomyosis induction in wistar albino rats . objective : the aim of this study was to investigate whether fluoxetine given to castrated and noncastrated rats caused hyperprolactinemia and its effects with respect to adenomyosis . design : fluoxetine , a serotonin reuptake inhibitor , was given to wistar albino rats for 98 days to produce hyperprolactinemia . the drug was given to two groups consisting of castrated and noncastrated rats and compared to two groups of castrated and noncastrated controls . prolactin levels were measured and the uteri of the rats were removed for histopathological analysis at the end of 98 days . setting : marmara university school of medicine , department of histology and embryology , zeynep kamil women and children 's hospital . main outcome measures : serum prolactin levels , uterine histopathology . results : the prolactin levels of castrated and noncastrated groups treated with fluoxetine were statistically significantly higher when compared to their respective control groups . histological studies revealed 11 cases of adenomyosis , all within the noncastrated group receiving fluoxetine . conclusion : it was suggested that high serum prolactin levels cause degeneration of myometrial cells in the presence of ovarian steroids that results in a myometrial invasion by endometrial stroma . this invasion eventually progresses to adenomyosis .","O,O,O,O,I-DI,O,O,O,O,I-DI,O,O,I-CH,I-CH,O,O,O,I-CH,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,I-DI,O,O,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O",dev
36,palpebral twitching in a depressed adolescent on citalopram . current estimates suggest that between 0.4 % and 8.3 % of children and adolescents are affected by major depression . we report a favorable response to treatment with citalopram by a 15 - year - old boy with major depression who exhibited palpebral twitching during his first 2 weeks of treatment . this may have been a side effect of citalopram as it remitted with redistribution of doses .,"I-DI,I-DI,O,O,I-DI,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O",train
37,"pharmacology of gyki - 41 099 ( chlorpropanol , tobanum ) a new potent beta - adrenergic antagonist . the compound gyki - 41 099 , as a beta - adrenergic antagonist , is 3 - 8 times more potent than propranolol in vitro and in vivo . its antiarrhythmic effectiveness surpasses that of propranolol and pindolol inhibiting the ouabain arrhythmia in dogs and cats . gyki - 41 900 has a negligible cardiodepressant activity ; it is not cardioselective . the compound shows a rapid and long lasting effect . there was a prolonged elimination of the radioactivity after the injection of 14c - 41 099 to rats and dogs . the half life of the unlabeled substance in humans was more than 10 hours .","O,O,I-CH,I-CH,I-CH,I-CH,O,I-CH,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-CH,O,O,I-CH,I-DI,O,O,O,O,O,I-CH,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",dev
38,"risks of the consumption of beverages containing quinine . although the united states food and drug administration banned its use for nocturnal leg cramps due to lack of safety and efficacy , quinine is widely available in beverages including tonic water and bitter lemon . numerous anecdotal reports suggest that products containing quinine may produce neurological complications , including confusion , altered mental status , seizures , and coma , particularly in older women . psychologists need to inquire about consumption of quinine - containing beverages as part of an evaluation process .","O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,I-DI,O,O,O,O,O,I-DI,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O",train
39,"protective effect of edaravone against streptomycin - induced vestibulotoxicity in the guinea pig . this study investigated alleviation of streptomycin - induced vestibulotoxicity by edaravone in guinea pigs . edaravone , a free radical scavenger , has potent free radical quenching action and is used in clinical practice to treat cerebral infarction . streptomycin was administered to the inner ear by osmotic pump for 24 h , and edaravone ( n = 8 ) or saline ( n = 6 ) was intraperitoneally injected once a day for 7 days . we observed horizontal vestibulo - ocular reflex as a marker of postoperative vestibular function . animals injected with saline showed statistically smaller gains than those injected with edaravone . these results suggest that edaravone suppresses streptomycin - induced vestibulotoxicity .","O,O,O,I-CH,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,I-CH,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,I-CH,O,I-CH,O,O,I-DI,O",dev
40,"branch retinal vein occlusion and fluoxetine . a case of branch retinal vein occlusion associated with fluoxetine - induced secondary hypertension is described . although an infrequent complication of selective serotonin reuptake inhibitor therapy , it is important that ophthalmologists are aware that these agents can cause hypertension because this class of drugs is widely prescribed .","O,I-DI,I-DI,I-DI,O,I-CH,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,I-CH,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O",valid
41,"studies of risk factors for aminoglycoside nephrotoxicity . the epidemiology of aminoglycoside - induced nephrotoxicity is not fully understood . experimental studies in healthy human volunteers indicate aminoglycosides cause proximal tubular damage in most patients , but rarely , if ever , cause glomerular or tubular dysfunction . clinical trials of aminoglycosides in seriously ill patients indicate that the relative risk for developing acute renal failure during therapy ranges from 8 to 10 and that the attributable risk is 70 % to 80 % . further analysis of these data suggests that the duration of therapy , plasma aminoglycoside levels , liver disease , advanced age , high initial estimated creatinine clearance and , possibly , female gender all increase the risk for nephrotoxicity . other causes of acute renal failure , such as shock , appear to have an additive effect . predictive models have been developed from these analyses that should be useful for identifying patients at high risk . these models may also be useful in developing insights into the pathophysiology of aminoglycoside - induced nephrotoxicity .","O,O,O,O,O,I-CH,I-DI,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,I-DI,I-DI,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O",test
